"transaction","modo","consorcio","id_servico_jae","servico","descricao_servico","nome_completo_servico","latitude_servico","longitude_servico","sentido","cadastro_cliente","produto","tipo_transacao","tipo_usuario","meio_pagamento","quantidade_passageiros"
"6NUXX52O75","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","Carṭo","1"
"ZWN1TL0O61","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","13"
"30VWPAT0S6","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","11"
"J94QM29M2D","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","10"
"YHKEI0DV1C","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","5"
"TC35A8VT95","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","3"
"6NUXX52O75","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","4"
"2AIL0QVHZG","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","4"
"SFEH7M95A8","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","7"
"AL1FNW4UVJ","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","4"
"IHE5QTGZTW","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","9"
"DO3I3HOICA","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","7"
"XREEPCV17K","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","4"
"LLL69NHRIM","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","4"
"5KU8O1E1II","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","8"
"LDE74RWA5W","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","8"
"UMEYO9JYZA","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","2"
"K3AGTD49FW","BRT","MobiRio","2","TOBBA","Bosque da Barra","TOBBA - Bosque da Barra","-23000319","-43377442","0","Cadastrado","Carteira","Integral","Pagante","QRCode","1"
